target,f1,f2,f3,f4,f5
1,22.6,25.06666667,428.3333333,849.3333333,0.00424961
1,22.6,25.2,422.5,853,0.00427237
1,22.6,25.2,423.6666667,853,0.00427237
1,22.54,25.16,424.6,852,0.004249921
1,22.54,25.16,427.4,853.6,0.004249921
1,22.54,25.14,421.8,845.6,0.00424652
1,22.525,25.1,426,834.25,0.004235829
1,22.5,25.04,421.8,826.4,0.004219178
1,22.5,25,419,819.6,0.004212392
1,22.5,25,419,829.6,0.004212392
1,22.5,25,419,824,0.004212392
1,22.5,24.912,419,814.2,0.004197464
1,22.5,24.89,419,813.5,0.004193733
1,22.5,24.89,419,813.8,0.004193733
1,22.5,24.89,419,811,0.004193733
1,22.478,24.87,419,804.6,0.004184704
1,22.456,24.83,419,807.8,0.004172308
1,22.5,24.85666667,419,802.3333333,0.004188079
1,22.4175,24.7475,419,796.75,0.004148566
1,22.456,24.81,419,794.4,0.004168925
1,22.39,24.7,419,790.6,0.004133586
1,22.4175,24.7225,419,789.75,0.004144348
1,22.39,24.7,419,782.2,0.004133586
1,22.39,25,0,805.5,0.00418413
1,22.35,24.978,0,791.4,0.004170196
1,22.32333333,25,0,779.3333333,0.004167082
1,22.365,24.9725,0,780.75,0.004173103
1,22.315,24.89,0,781.75,0.004146508
1,22.29,24.9175,0,781,0.004144767
1,22.29,24.912,0,778.4,0.004143846
1,22.26,24.85666667,0,769.3333333,0.004126988
1,22.254,24.85,0,766.5,0.004124357
1,22.23,24.79333333,0,763.25,0.004108841
1,22.26,24.82333333,0,762.3333333,0.004121417
1,22.2,24.79,0,761.5,0.004100737
1,22.2,24.79,0,761,0.004100737
1,22.2,24.736,0,757,0.004091746
1,22.2,24.79,0,752.3333333,0.004100737
1,22.13333333,24.7,0,748.6666667,0.004069084
1,22.1,24.7,0,746.25,0.004060772
1,22.15,24.7225,0,745.25,0.00407698
1,22.1,24.7,0,740.6666667,0.004060772
1,22.1,24.7,0,738,0.004060772
1,22.13333333,24.7,0,732.6666667,0.004069084
1,22.1,24.7,0,727,0.004060772
1,22.1,24.675,0,716,0.004056635
1,22.06666667,24.66666667,0,723.25,0.004046971
1,22.06666667,24.66666667,0,718.3333333,0.004046971
1,22,24.58,0,716.6,0.004016193
1,21.978,24.6,0,714,0.004014056
1,21.978,24.56,0,714.2,0.004007487
1,21.945,24.6,0,715,0.00400593
1,21.92666667,24.5,0,706.6666667,0.003985052
1,21.89,24.5,0,706,0.003976085
1,21.89,24.525,0,698.75,0.003980169
1,21.89,24.5,0,692.5,0.003976085
1,21.89,24.5,0,694.75,0.003976085
1,21.815,24.4175,0,697.25,0.003944389
1,21.82333333,24.46333333,0,692,0.003953865
1,21.79,24.39,0,691,0.003933868
1,21.79,24.39,0,689.75,0.003933868
1,21.79,24.39,0,689,0.003933868
1,21.7675,24.39,0,687,0.00392843
1,21.7675,24.365,0,679.75,0.003924377
1,21.754,24.35,0,668.4,0.003918692
1,21.7,24.29,0,665.6666667,0.003896013
1,21.7,24.29,0,664.75,0.003896013
1,21.7,24.29,0,668,0.003896013
1,21.7,24.29,0,661.25,0.003896013
1,21.64,24.236,0,658.2,0.003872972
1,21.6,24.2,0,656,0.003857673
1,21.6,24.2,0,654.8,0.003857673
1,21.6,24.2225,0,653.75,0.003861282
1,21.5,24.26,0,650.3333333,0.003843552
1,21.5,24.2,0,650.75,0.003833988
1,21.55,24.2,0,648.25,0.003845814
1,21.5,24.2,0,640.3333333,0.003833988
1,21.5,24.2,0,638,0.003833988
1,21.5,24.2,0,636.25,0.003833988
1,21.5,24.2,0,636.3333333,0.003833988
1,21.5,24.15,0,635.75,0.003826018
1,21.5,24.175,0,635.5,0.003830003
1,21.5,24.125,0,627.5,0.003822033
1,21.5,24.15,0,626.25,0.003826018
1,21.5,24.125,0,621.5,0.003822033
1,21.5,24.1,0,621.75,0.003818048
1,21.5,24.1,0,620.6666667,0.003818048
1,21.5,24.1,0,617,0.003818048
1,21.5,24.1,0,612.75,0.003818048
1,21.4725,24.075,0,614.5,0.003807606
1,21.39,24,0,617.3333333,0.003776419
1,21.42666667,23.92666667,0,614.25,0.00377333
1,21.39,23.9725,0,610.75,0.003772066
1,21.39,23.9175,0,603,0.003763359
1,21.39,23.945,0,603.5,0.003767713
1,21.365,23.89,0,602,0.003753216
1,21.32333333,24,0,605.6666667,0.003760925
1,21.34,23.9725,0,604.5,0.003760453
1,21.315,23.9725,0,599,0.003754659
1,21.35666667,24,0,600,0.003768665
1,21.39,23.9725,0,596.5,0.003772066
1,21.315,23.89,0,597.5,0.00374166
1,21.29,23.945,0,594,0.003744546
1,21.29,23.9725,0,590.5,0.003748872
1,21.29,23.89,0,586.6666667,0.003735893
1,21.29,23.92666667,0,588,0.003741662
1,21.29,23.89,0,585.5,0.003735893
1,21.29,23.89,0,584.5,0.003735893
1,21.254,23.85,0,587.2,0.003721325
1,21.23,23.82333333,0,585,0.003711637
1,21.218,23.81,0,579.4,0.0037068
1,21.2,23.79,0,579.3333333,0.003699555
1,21.2,23.79,0,581.6,0.003699555
1,21.2,23.79,0,581.6666667,0.003699555
1,21.2,23.79,0,577.5,0.003699555
1,21.2,23.79,0,577.3333333,0.003699555
1,21.2,23.7675,0,574.25,0.003696035
1,21.2,23.745,0,569,0.003692515
1,21.2,23.76,0,565.3333333,0.003694862
1,21.2,23.7,0,561.4,0.003685476
1,21.2,23.79,0,567.3333333,0.003699555
1,21.175,23.7,0,565.3333333,0.003679792
1,21.16666667,23.7,0,563.5,0.003677899
1,21.125,23.675,0,559,0.003664554
1,21.1,23.65,0,559.5,0.003655012
1,21.125,23.65,0,550.5,0.003660661
1,21.1,23.6,0,553,0.003647239
1,21.13333333,23.6,0,552,0.003654757
1,21.1,23.6,0,553.25,0.003647239
1,21.1,23.6,0,545.75,0.003647239
1,21.1,23.6,0,548,0.003647239
1,21.1,23.6,0,547,0.003647239
1,21.1,23.575,0,545.75,0.003643353
1,21.1,23.53333333,0,544,0.003636876
1,21.1,23.4725,0,545.5,0.00362742
1,21.1,23.4725,0,547,0.00362742
1,21.1,23.5,0,545.25,0.003631695
1,21.1,23.5,0,541.25,0.003631695
1,21.125,23.5,0,540.75,0.003637308
1,21.1,23.5,0,533.3333333,0.003631695
1,21.13333333,23.5,0,528,0.00363918
1,21.1,23.3925,0,537.75,0.003614985
